time,Bx,By,Bz,BT
3.455741,-5.76,-22.41,-20.44,30.87
3.465169,-5.51,-22.22,-20.27,30.58
3.474636,-5.57,-22.09,-20.14,30.40
3.486495,-5.59,-22.26,-20.23,30.59
3.494791,-5.66,-22.33,-19.95,30.48
3.504455,-5.57,-22.33,-19.74,30.32
3.514662,-5.66,-22.48,-19.52,30.31
3.524361,-5.72,-22.50,-19.58,30.37
3.534541,-5.76,-22.35,-19.50,30.21
3.544401,-5.96,-22.24,-19.50,30.17
3.554525,-6.00,-22.22,-19.33,30.06
3.564302,-5.96,-21.96,-19.24,29.79
3.575755,-6.04,-22.01,-19.37,29.94
3.584439,-5.81,-22.14,-19.35,29.98
3.596870,-5.79,-22.18,-19.63,30.18
3.605399,-5.57,-22.20,-19.52,30.08
3.615274,-5.51,-22.29,-19.58,30.18
3.625410,-5.49,-22.28,-19.69,30.23
3.635101,-5.25,-22.56,-19.58,30.32
3.644676,-5.25,-22.56,-19.54,30.30
3.654523,-5.06,-22.65,-19.48,30.30
3.664451,-5.34,-22.63,-19.43,30.30
3.680646,-5.64,-22.71,-19.22,30.28
3.688599,-5.81,-22.67,-19.24,30.29
3.694608,-5.66,-22.86,-19.33,30.47
3.704407,-5.57,-22.95,-19.31,30.51
3.714691,-5.61,-22.65,-19.73,30.55
3.724496,-5.81,-22.84,-19.63,30.67
3.734696,-6.21,-22.69,-19.74,30.71
3.744555,-6.19,-22.84,-19.89,30.91
3.754590,-5.87,-22.50,-19.88,30.59
3.764439,-5.89,-22.43,-20.03,30.64
3.774672,-5.94,-22.31,-19.95,30.52
3.784644,-6.08,-22.44,-19.82,30.55
3.794680,-6.19,-22.59,-19.59,30.54
3.804456,-5.93,-22.73,-19.48,30.51
3.814746,-5.68,-22.65,-19.26,30.27
3.824524,-5.83,-22.29,-19.24,30.02
3.834675,-5.91,-22.56,-19.20,30.20
3.845510,-5.76,-22.82,-19.03,30.27
3.855490,-5.83,-22.71,-19.09,30.23
3.865358,-5.57,-22.48,-19.31,30.16
3.875307,-5.38,-22.22,-19.31,29.93
3.885015,-5.38,-22.11,-19.41,29.90
3.894477,-5.36,-22.07,-19.67,30.04
3.904465,-4.95,-22.26,-19.63,30.09
3.914475,-5.18,-22.26,-19.91,30.31
3.924451,-5.33,-21.92,-19.84,30.04
3.934535,-5.40,-22.05,-19.71,30.06
3.944601,-5.68,-22.07,-19.50,29.99
3.954652,-5.93,-22.09,-19.48,30.04
3.964550,-5.81,-22.16,-19.37,30.00
3.974547,-5.89,-22.14,-19.26,29.93
3.989380,-6.08,-22.09,-19.31,29.96
3.994563,-5.85,-21.92,-19.33,29.81
4.004247,-5.78,-21.99,-19.37,29.87
4.014676,-5.62,-21.83,-19.54,29.83
4.024399,-5.51,-21.90,-19.80,30.03
4.034533,-5.44,-21.99,-19.65,29.99
4.044517,-5.49,-21.79,-19.89,30.01
4.054601,-5.61,-21.94,-19.93,30.17
4.064424,-5.68,-21.94,-20.06,30.27
4.075562,-5.66,-21.83,-20.01,30.14
4.088223,-5.59,-21.92,-20.23,30.35
4.095316,-5.57,-21.94,-20.38,30.46
4.105565,-5.72,-21.94,-20.16,30.34
4.115224,-5.78,-21.94,-20.31,30.45
4.125029,-5.81,-22.18,-20.08,30.48
4.134330,-5.78,-22.03,-20.14,30.40
4.144495,-5.72,-22.07,-20.06,30.37
4.154590,-5.83,-22.35,-20.04,30.58
4.164430,-5.85,-22.37,-20.03,30.59
4.174840,-5.96,-22.52,-19.78,30.56
4.189476,-5.79,-22.46,-19.73,30.45
4.194679,-5.93,-22.37,-19.93,30.54
4.204327,-6.04,-22.07,-19.84,30.28
4.214733,-5.83,-22.11,-19.84,30.27
4.224452,-5.68,-22.39,-19.91,30.50
4.234772,-5.57,-22.24,-19.88,30.34
4.244553,-5.57,-22.33,-19.73,30.31
4.254495,-5.61,-22.41,-19.97,30.53
4.265065,-5.79,-22.56,-20.19,30.82
4.274680,-5.62,-22.59,-19.89,30.62
4.286838,-5.46,-22.76,-20.12,30.87
4.294769,-5.46,-22.69,-20.21,30.87
4.304415,-5.66,-22.33,-20.08,30.56
4.314743,-5.81,-22.39,-20.21,30.72
